id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address
DbXoNviGqDwJwF5Yap13Kw,the-hive-austin,The Hive,https://s3-media3.fl.yelpcdn.com/bphoto/6SVdOjjQ6Mc2toL7TvsDRQ/o.jpg,False,https://www.yelp.com/biz/the-hive-austin?adjust_creative=RwbavM1QgTWTHt3y4IR7Eg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RwbavM1QgTWTHt3y4IR7Eg,142,"[{'alias': 'cafes', 'title': 'Cafes'}]",4.5,"['delivery', 'pickup']",$,+15122152942,(512) 215-2942,17004.044617423388,30.165378,-97.829498,10542 Menchaca Rd,,,Austin,78748,US,TX,"['10542 Menchaca Rd', 'Austin, TX 78748']"
cMB8pX870DZzTNg1TSGRVA,revival-coffee-by-gabrielas-austin,Revival Coffee by Gabrielas,https://s3-media1.fl.yelpcdn.com/bphoto/uYqL7MIDVFaFDlpkgyEn8Q/o.jpg,False,https://www.yelp.com/biz/revival-coffee-by-gabrielas-austin?adjust_creative=RwbavM1QgTWTHt3y4IR7Eg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RwbavM1QgTWTHt3y4IR7Eg,628,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.0,['delivery'],$,,,5376.555395466379,30.26431161510767,-97.727753,1405 E 7th St,,,Austin,78702,US,TX,"['1405 E 7th St', 'Austin, TX 78702']"
-4bP1UUgpZumIu6DZMaMzw,houndstooth-coffee-austin,Houndstooth Coffee,https://s3-media4.fl.yelpcdn.com/bphoto/nyUqcAoe1J_1PYg1o0RByw/o.jpg,False,https://www.yelp.com/biz/houndstooth-coffee-austin?adjust_creative=RwbavM1QgTWTHt3y4IR7Eg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RwbavM1QgTWTHt3y4IR7Eg,562,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.0,['delivery'],$$,+15125319417,(512) 531-9417,1804.298990180798,30.3105879441575,-97.7400099372758,4200 N Lamar Blvd,Ste 120,,Austin,78756,US,TX,"['4200 N Lamar Blvd', 'Ste 120', 'Austin, TX 78756']"
BZGfVuuLu11_lzGv0gbLpg,black-rock-coffee-bar-austin-2,Black Rock Coffee Bar,https://s3-media2.fl.yelpcdn.com/bphoto/21GxIxSArpgTEbFcMddeVQ/o.jpg,False,https://www.yelp.com/biz/black-rock-coffee-bar-austin-2?adjust_creative=RwbavM1QgTWTHt3y4IR7Eg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RwbavM1QgTWTHt3y4IR7Eg,64,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",4.0,"['delivery', 'pickup']",$$,+18304767927,(830) 476-7927,11878.204759528078,30.25429298323357,-97.86649794229503,7415 Southwest Pkwy,Unit 700,,Austin,78735,US,TX,"['7415 Southwest Pkwy', 'Unit 700', 'Austin, TX 78735']"
9svRx0cp1hcHvIQ_FcQlSQ,merit-coffee-austin-3,Merit Coffee,https://s3-media4.fl.yelpcdn.com/bphoto/pJFJPTYCP3ZZKGcnxtT0rA/o.jpg,False,https://www.yelp.com/biz/merit-coffee-austin-3?adjust_creative=RwbavM1QgTWTHt3y4IR7Eg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RwbavM1QgTWTHt3y4IR7Eg,92,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.0,[],$$,+17372120429,(737) 212-0429,2483.8444599978106,30.31535,-97.73485,4615 N Lamar Blvd,Ste 303A,,Austin,78751,US,TX,"['4615 N Lamar Blvd', 'Ste 303A', 'Austin, TX 78751']"
UVWO4h-ADYBW7BmxRYEa3w,dear-diary-coffeehouse-austin,Dear Diary Coffeehouse,https://s3-media4.fl.yelpcdn.com/bphoto/xcydn61LAfqDyjjtFzrmNA/o.jpg,False,https://www.yelp.com/biz/dear-diary-coffeehouse-austin?adjust_creative=RwbavM1QgTWTHt3y4IR7Eg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RwbavM1QgTWTHt3y4IR7Eg,70,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,['delivery'],,+15124896757,(512) 489-6757,4970.79406069552,30.27437,-97.72023,1212 Chicon St,Ste 103,,Austin,78702,US,TX,"['1212 Chicon St', 'Ste 103', 'Austin, TX 78702']"
KWOYQzXi9RXrHg22zMidsw,intelligentsia-austin-2,Intelligentsia,https://s3-media2.fl.yelpcdn.com/bphoto/djFV3o3NKHhlqwQt-hu4vQ/o.jpg,False,https://www.yelp.com/biz/intelligentsia-austin-2?adjust_creative=RwbavM1QgTWTHt3y4IR7Eg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RwbavM1QgTWTHt3y4IR7Eg,37,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,['delivery'],$$,,,4331.947830387172,30.266679,-97.7493745,607 W 3rd St,Ste 0110,,Austin,78701,US,TX,"['607 W 3rd St', 'Ste 0110', 'Austin, TX 78701']"
tUXQc9v1tZ5SWSCgkBMMAA,palomino-coffee-austin,Palomino Coffee,https://s3-media4.fl.yelpcdn.com/bphoto/GwXRb-niB-6mbYITCTiF8g/o.jpg,False,https://www.yelp.com/biz/palomino-coffee-austin?adjust_creative=RwbavM1QgTWTHt3y4IR7Eg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RwbavM1QgTWTHt3y4IR7Eg,44,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.0,[],$$,+15126602568,(512) 660-2568,7331.711018798467,30.27929,-97.68753,4136 E 12th St,,,Austin,78721,US,TX,"['4136 E 12th St', 'Austin, TX 78721']"
K4jQPiXrj_-tXSBgXMY4vg,freewheelin-coffee-austin,Freewheelin Coffee,https://s3-media4.fl.yelpcdn.com/bphoto/R26zxwzTvUQHVjEGlReO4g/o.jpg,False,https://www.yelp.com/biz/freewheelin-coffee-austin?adjust_creative=RwbavM1QgTWTHt3y4IR7Eg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RwbavM1QgTWTHt3y4IR7Eg,27,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.5,['delivery'],$$,,,6252.53345913844,30.257129,-97.723646,1910 E Cesar Chavez St,,,Austin,78702,US,TX,"['1910 E Cesar Chavez St', 'Austin, TX 78702']"
szqma4QibwpVaA9fsE8soQ,monkey-nest-coffee-austin-2,Monkey Nest Coffee,https://s3-media3.fl.yelpcdn.com/bphoto/NVqFQhfSHXNn1bWj3Hxzzw/o.jpg,False,https://www.yelp.com/biz/monkey-nest-coffee-austin-2?adjust_creative=RwbavM1QgTWTHt3y4IR7Eg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RwbavM1QgTWTHt3y4IR7Eg,681,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}]",4.0,"['delivery', 'pickup']",$,+15125058033,(512) 505-8033,3057.293866110492,30.32769,-97.73941,5353 Burnet Rd,,,Austin,78756,US,TX,"['5353 Burnet Rd', 'Austin, TX 78756']"
